Article URL,Article Title
https://asteriskmag.com/issues/07/sins-of-the-children,07: Development Sins of the Children Adrian Tchaikovsky fiction 07/2024
https://asteriskmag.com/issues/07/artificial-wombs-when,07: Development Artificial Wombs When? Sarah Constantin science 07/2024
https://asteriskmag.com/issues/07/the-misery-bomb,07: Development The Misery Bomb Matt Reynolds health culture 07/2024
https://asteriskmag.com/issues/07/can-you-trust-an-ai-press-release,07: Development Can You Trust An AI Press Release? Lawrence Chan AI 07/2024
https://asteriskmag.com/issues/07/culture-studies,07: Development Culture Studies Henrik Karlsson 07/2024
https://asteriskmag.com/issues/07/the-wrong-kind-of-city,07: Development The Wrong Kind of City? Dietrich Vollrath economics history 09/2024
https://asteriskmag.com/issues/07/the-next-revolution-in-animal-agriculture,07: Development The Next Revolution in Animal Agriculture Constance Li animals AI 07/2024
https://asteriskmag.com/issues/07/why-we-shut-down,07: Development Why We Shut Down Sarah Eustis-Guthrie Ben Williamson health 07/2024
https://asteriskmag.com/issues/07/development-finance-done-right,07: Development Development Finance Done Right Andrew Herscowitz health economics 07/2024
https://asteriskmag.com/issues/07/how-long-til-were-all-on-ozempic,07: Development How Long Til We’re All on Ozempic? Greg Justice health forecasting 07/2024
https://asteriskmag.com/issues/07/developmental-editing,07: Development Developmental Editing The Editors editorial 07/2024
https://asteriskmag.com/issues/06/better-living-through-group-chemistry,06: California Better Living Through Group Chemistry Santi Ruiz Lydia You culture 07/2024
https://asteriskmag.com/issues/06/the-tescreal-bungle,06: California The “TESCREAL” Bungle Ozy Brennan effective altruism technology existential risk 06/2024
https://asteriskmag.com/issues/06/the-ea-progress-studies-war-is-here-and-its-a-constructive-dialogue,"06: California The EA-Progress Studies War is Here, and It’s a Constructive Dialogue! Clara Collier Jason Crawford effective altruism 06/2024"
https://asteriskmag.com/issues/06/silicon-valleys-gold-rush-roots,06: California Silicon Valley’s Gold Rush Roots Peter Westwick history 04/2024
https://asteriskmag.com/issues/06/manufacturing-bliss,06: California Manufacturing Bliss Nadia Asparouhova science 04/2024
https://asteriskmag.com/issues/06/when-rand-made-magic-in-santa-monica,06: California When RAND Made Magic in Santa Monica Pradyumna Prasad Jordan Schneider science history 06/2024
https://asteriskmag.com/issues/06/california-vs-big-soda,06: California California vs. Big Soda Scott Kaplan economics health 06/2024
https://asteriskmag.com/issues/06/its-2024-and-drought-is-optional,06: California It’s 2024 and Drought is Optional Casey Handmer technology science 05/2024
https://asteriskmag.com/issues/06/why-is-everyone-suddenly-furious-about-ai-regulation,06: California Why Is Everyone Suddenly Furious About AI Regulation? Zvi Mowshowitz AI existential risk 05/2024
https://asteriskmag.com/issues/06/debugging-tech-journalism,06: California Debugging Tech Journalism Timothy B. Lee technology media 04/2024
https://asteriskmag.com/issues/06/the-highway-to-nimbyism,06: California The Highway to NIMBYism Devon Zuegel economics housing 05/2024
https://asteriskmag.com/issues/06/the-fault-in-our-forecasts,06: California The Fault in Our Forecasts Susan Hough history science forecasting 06/2024
https://asteriskmag.com/issues/06/california-forever-jan-sramek,06: California When Was the Last Time We Built a New City? Jan Sramek economics housing 04/2024
https://asteriskmag.com/issues/06/shutting-the-california-prison-systems-revolving-door,06: California Shutting the California Prison System’s Revolving Door Mia Bird 07/2024
https://asteriskmag.com/issues/06/how-to-make-a-great-government-website,06: California How to Make a Great Government Website Dave Guarino 05/2024
https://asteriskmag.com/issues/06/editorial,06: California Golden States The Editors editorial 04/2024
https://asteriskmag.com/issues/05/moving-past-environmental-proceduralism,05: Mistakes Moving Past Environmental Proceduralism Alec Stapp and Brian Potter political science science history 04/2024
https://asteriskmag.com/issues/05/how-not-to-predict-the-future,05: Mistakes How Not To Predict The Future Molly Hickman forecasting 03/2024
https://asteriskmag.com/issues/05/why-isnt-solar-scaling-in-africa,05: Mistakes Why Isn’t Solar Scaling in Africa? Todd Moss science 02/2024
https://asteriskmag.com/issues/05/the-ruin-of-mumbai,05: Mistakes The Ruin of Mumbai Saarthak Gupta economics 03/2024
https://asteriskmag.com/issues/05/all-aboard-the-bureaucracy-train,05: Mistakes All Aboard the Bureaucracy Train Alon Levy history interview 02/2024
https://asteriskmag.com/issues/05/prediction-markets-have-an-elections-problem-jeremiah-johnson,05: Mistakes Prediction Markets Have an Elections Problem Jeremiah Johnson forecasting science technology 02/2024
https://asteriskmag.com/issues/05/pepfar-and-the-costs-of-cost-benefit-analysis,05: Mistakes PEPFAR and the Costs of Cost-Benefit Analysis Justin Sandefur economics health 02/2024
https://asteriskmag.com/issues/05/lies-damned-lies-and-manometer-readings,"05: Mistakes Lies, Damned Lies, and Manometer Readings Jesse Smith science 02/2024"
https://asteriskmag.com/issues/05/democracy-by-mistake,05: Mistakes Democracy by Mistake Daniel Treisman history political science 02/2024
https://asteriskmag.com/issues/05/why-you-ve-never-been-in-a-plane-crash,05: Mistakes Why You’ve Never Been In A Plane Crash Kyra Dempsey history culture technology 02/2024
https://asteriskmag.com/issues/05/china-s-policy-failures,05: Mistakes China’s Policy Failures John Yasuda culture political science 02/2024
https://asteriskmag.com/issues/05/michael-lewis-s-blind-side,05: Mistakes Michael Lewis’s Blind Side Ricki Heicklen review 02/2024
https://asteriskmag.com/issues/05/oops,05: Mistakes Oops The Editors editorial 02/2024
https://asteriskmag.com/issues/04/is-our-children-learning,04: Measurement Rarely is the Question Asked: Is Our Children Learning? Lauren Gilbert economics education 12/2024
https://asteriskmag.com/issues/04/the-art-of-asking-questions,04: Measurement The Art of Asking Questions Adam Mastroianni science 12/2024
https://asteriskmag.com/issues/04/fracking-eyeballs,04: Measurement Fracking Eyeballs D. Graham Burnett science history 10/2023
https://asteriskmag.com/issues/04/mysticism-empiricism,04: Measurement Mysticism & Empiricism Jake Eaton science history 10/2023
https://asteriskmag.com/issues/04/you-re-invited-to-a-colonoscopy,04: Measurement You’re Invited to a Colonoscopy! Dynomight science 10/2023
https://asteriskmag.com/issues/04/intelligence-testing,04: Measurement Intelligence Testing Sam Bowman Nicholas Schiefer interview 10/2023
https://asteriskmag.com/issues/04/pew-problems,04: Measurement Pew Problems Lyman Stone interview 10/2023
https://asteriskmag.com/issues/04/behind-closed-doors,04: Measurement Behind Closed Doors Amalia Miller economics 10/2023
https://asteriskmag.com/issues/04/the-devil-in-the-details-matthew-desmond-s-poverty-by-america,04: Measurement The Devil in the Details: Matthew Desmond’s Poverty by America John Iceland economics review 10/2023
https://asteriskmag.com/issues/04/from-warp-speed-to-100-days,04: Measurement From Warp Speed to 100 Days Witold Więcek science 10/2023
https://asteriskmag.com/issues/04/half-a-million-kinksters-can-t-be-wrong,04: Measurement Half A Million Kinksters Can’t Be Wrong Aella science 10/2023
https://asteriskmag.com/issues/04/between-the-lines-a-history-of-the-most-important-concept-in-global-poverty,04: Measurement Between the Lines: A History of the Most Important Concept in Global Poverty Ranil Dissanayake economics history 10/2023
https://asteriskmag.com/issues/04/methods-section,04: Measurement Methods Section The Editors editorial 10/2023
https://asteriskmag.com/issues/03/emotional-intelligence-amplification,03: AI Emotional Intelligence Amplification Jamie Wahls fiction 06/2023
https://asteriskmag.com/issues/03/the-great-inflection-a-debate-about-ai-and-explosive-growth,03: AI The Great Inflection? A Debate About AI and Explosive Growth Matt Clancy Tamay Besiroglu economics technology 06/2023
https://asteriskmag.com/issues/03/the-puzzle-of-non-proliferation,03: AI The Puzzle of Non-Proliferation Carl Robichaud history existential risk 06/2023
https://asteriskmag.com/issues/03/the-transistor-cliff,03: AI The Transistor Cliff Sarah Constantin technology 06/2023
https://asteriskmag.com/issues/03/how-we-can-regulate-ai,03: AI How We Can Regulate AI Avital Balwit existential risk 06/2023
https://asteriskmag.com/issues/03/are-we-smart-enough-to-know-how-smart-ais-are,03: AI Are We Smart Enough to Know How Smart AIs Are? Robert Long science culture 06/2023
https://asteriskmag.com/issues/03/how-long-until-armageddon,03: AI How Long Until Armageddon? Michael Gordin history forecasting 06/2023
https://asteriskmag.com/issues/03/through-a-glass-darkly,03: AI Through a Glass Darkly Scott Alexander forecasting 06/2023
https://asteriskmag.com/issues/03/a-field-guide-to-ai-safety,03: AI A Field Guide to AI Safety Kelsey Piper existential risk 06/2023
https://asteriskmag.com/issues/03/what-we-get-wrong-about-ai-china,03: AI What We Get Wrong About AI & China Jeffrey Ding technology 06/2023
https://asteriskmag.com/issues/03/crash-testing-gpt-4,03: AI Crash Testing GPT-4 Beth Barnes existential risk 06/2023
https://asteriskmag.com/issues/03/ai-isn-t-coming-for-tech-jobs-yet,03: AI AI Isn’t Coming for Tech Jobs—Yet Jonathan Mann forecasting 06/2023
https://asteriskmag.com/issues/03/growing-up-overnight,03: AI Growing Up Overnight graphic 06/2023
https://asteriskmag.com/issues/03/why-worry,03: AI Why Worry? The Editors editorial 06/2023
https://asteriskmag.com/issues/02/is-cultivated-meat-for-real,02: Food Is Cultivated Meat For Real? Robert Yaman science 03/2023
https://asteriskmag.com/issues/02/salt-sugar-water-zinc-how-scientists-learned-to-treat-the-20th-century-s-biggest-killer-of-children,"02: Food Salt, Sugar, Water, Zinc: How Scientists Learned to Treat the 20th Century’s Biggest Killer of Children Matt Reynolds history science 03/2023"
https://asteriskmag.com/issues/02/my-primal-scream-of-rage-the-big-alcohol-study-that-didn-t-happen,02: Food My Primal Scream of Rage: The Big Alcohol Study That Didn't Happen Dynomight science 03/2023
https://asteriskmag.com/issues/02/read-this-not-that-the-hidden-cost-of-nutrition-misinformation,"02: Food Read This, Not That: The Hidden Cost of Nutrition Misinformation Stephan Guyenet science 03/2023"
https://asteriskmag.com/issues/02/america-doesn-t-know-tofu,02: Food America Doesn’t Know Tofu George Stiffman culture 03/2023
https://asteriskmag.com/issues/02/cows-vs-chemists-the-health-debates-over-plant-based-meat,02: Food Cows vs. Chemists: The Health Debates Over Plant-Based Meat Jake Eaton science 03/2023
https://asteriskmag.com/issues/02/what-i-won-t-eat,02: Food What I Won’t Eat Georgia Ray culture animals 03/2023
https://asteriskmag.com/issues/02/animal-welfare-in-the-anthropocene,02: Food Animal Welfare in the Anthropocene Jordan Hampton animals interview 03/2023
https://asteriskmag.com/issues/02/beyond-staple-grains,02: Food Beyond Staple Grains Prabhu Pingali history economics interview 03/2023
https://asteriskmag.com/issues/02/feeding-the-world-without-sunlight,02: Food Feeding the World Without Sunlight Mike Hinge interview existential risk 03/2023
https://asteriskmag.com/issues/02/the-virtue-of-wonder-martha-nussbaum-s-justice-for-animals,02: Food The Virtue of Wonder: Martha Nussbaum’s Justice for Animals Ozy Brennan culture animals review 03/2023
https://asteriskmag.com/issues/02/what-comes-after-covid,02: Food What Comes After COVID Juan Cambeiro forecasting 03/2023
https://asteriskmag.com/issues/02/aperitif,02: Food Aperitif The Editors editorial 03/2023
https://asteriskmag.com/issues/01/they-may-as-well-grow-on-trees-the-future-of-genetically-engineered-livestock,01: Inaugural Issue They May as Well Grow on Trees Xander Balwit fiction 11/2022
https://asteriskmag.com/issues/01/the-illogic-of-nuclear-escalation,01: Inaugural Issue The Illogic of Nuclear Escalation Fred Kaplan history technology 11/2022
https://asteriskmag.com/issues/01/china-s-silicon-future,01: Inaugural Issue China’s Silicon Future Karson Elmgren technology 11/2022
https://asteriskmag.com/issues/01/is-wine-fake,01: Inaugural Issue Is Wine Fake? Scott Alexander science culture 11/2022
https://asteriskmag.com/issues/01/why-isn-t-the-whole-world-rich,01: Inaugural Issue Why Isn’t the Whole World Rich? Dietrich Vollrath economics 11/2022
https://asteriskmag.com/issues/01/rebuilding-after-the-replication-crisis,01: Inaugural Issue Rebuilding After the Replication Crisis Stuart Ritchie science 11/2022
https://asteriskmag.com/issues/01/how-to-prevent-the-next-pandemic,01: Inaugural Issue How to Prevent the Next Pandemic Kevin Esvelt science existential risk interview 11/2022
https://asteriskmag.com/issues/01/making-sense-of-moral-change,01: Inaugural Issue Making Sense of Moral Change Christopher Leslie Brown history interview 11/2022
https://asteriskmag.com/issues/01/review-what-we-owe-the-future,01: Inaugural Issue What We Owe The Future Kelsey Piper culture existential risk review 11/2022
https://asteriskmag.com/issues/01/modeling-the-end-of-monkeypox,01: Inaugural Issue Modeling the End of Monkeypox Jared Leibowich forecasting health 11/2022
https://asteriskmag.com/issues/01/note-to-the-reader,01: Inaugural Issue Note to the Reader The Editors editorial 11/2022
